"id","naptime","total_sleep","midpoint_sleep","bedtime_mssd","cum_gpa","term_gpa"
111,46.17647059,454.7058824,450.2058824,0.54766276,3.2799998,3.5
113,59.25,355.8214286,409.2857143,0.131948255,3.3799998,3.5
115,9.166666667,380.1666667,724.6666667,12.92842222,3.4156245,3.233333
116,90,423.4666667,320.9333333,0.942780612,3.675,3.538461
118,17.82608696,387.0434783,298.9782609,0.186487603,3.43999985,3.5
122,44.2,482.6,416.3,0.474972565,3.326086652,3.033333
124,48.7,418.7,368.9,0.643803155,3.111110778,3.2
126,90.44,408.48,320.44,0.252284433,3.8799998,3.961538
127,39.23076923,359.2307692,345.7307692,0.184224444,3.621739,3.592307
128,15.8,412.3,283.05,7.477890947,3.8666665,3.966666
130,29.67857143,511.6071429,264.4642857,0.04155807,3.916666,3.9
136,27.25,458,363.4642857,0.049951227,3.7,3.933333
141,51.88,451.84,316.18,0.142999132,3.333332556,2.533333
146,39.44444444,392.5185185,359.1296296,0.32452334,3.955172,3.964285
