"id","race","gender","firstgen","total_sleep","university","cum_gpa","term_gpa","midpoint_sleep","naptime"
521,"Not Underrepresented","Male","First-Gen",386.2,"University of Washington SP 2019",3.456,3.15,337.9,47.8
535,"Not Underrepresented","Male","First-Gen",384.6,"University of Washington SP 2019",3.075,2.46,341.88,58.96
543,"Not Underrepresented","Male","First-Gen",417.1785714,"University of Washington SP 2019",2.617058824,3.35,361.0714286,70.60714286
560,"Underrepresented","Male","First-Gen",509.2857143,"University of Washington SP 2019",3.155769231,3.47,405.1607143,33.46428571
14847,"Not Underrepresented","Female","First-Gen",456.5666667,"Notre Dame University SP 2016",3.333166667,3.666833333,385.4333333,51.03333333
17020,"Underrepresented","Male","First-Gen",429.6071429,"Notre Dame University SP 2016",3.166666667,3.5,425.3392857,59.67857143
18707,"Not Underrepresented","Female","First-Gen",419.9,"Notre Dame University SP 2016",2.9334,3.277833333,310.9,57
51723,"Not Underrepresented","Male","First-Gen",273.9166667,"Notre Dame University SP 2016",2.8002,3.4668,455.75,30.5
72885,"Not Underrepresented","Male","First-Gen",356.8333333,"Notre Dame University SP 2016",3.3334,3.2666,414.4166667,45.76666667
79897,"Not Underrepresented","Female","First-Gen",384.2,"Notre Dame University SP 2016",3.722166667,3.722333333,369.4833333,52.33333333
92566,"Not Underrepresented","Male","First-Gen",327.5185185,"Notre Dame University SP 2016",3.6666,3.809571429,362.2037037,39.74074074
94455,"Not Underrepresented","Male","First-Gen",275.8461538,"Notre Dame University SP 2016",3.055666667,3.333333333,382.0961538,40.84615385
293,"Not Underrepresented","Female","Not First-Gen",370.037037,"Carnegie Mellon SP 2018",4,3.76,500.3333333,11.74074074
